Name	Date	Wavelength	Expected	Acutal	A-E
78584	4/4/2019 9:37 AM	440	0.056700	0.055000	-0.001700
78584	4/4/2019 9:37 AM	465	0.053400	0.051000	-0.002400
78584	4/4/2019 9:37 AM	546	0.051500	0.050000	-0.001500
78584	4/4/2019 9:37 AM	590	0.051200	0.049000	-0.002200
78584	4/4/2019 9:37 AM	635	0.051000	0.049000	-0.002000
52790	4/4/2019 9:38 AM	440	0.166000	0.164000	-0.002000
52790	4/4/2019 9:38 AM	465	0.150200	0.148000	-0.002200
52790	4/4/2019 9:38 AM	546	0.152900	0.151000	-0.001900
52790	4/4/2019 9:38 AM	590	0.165400	0.163000	-0.002400
52790	4/4/2019 9:38 AM	635	0.173900	0.172000	-0.001900
79082	4/4/2019 9:40 AM	440	0.565100	0.565000	-0.000100
79082	4/4/2019 9:40 AM	465	0.525200	0.526000	0.000800
79082	4/4/2019 9:40 AM	546	0.522700	0.523000	0.000300
79082	4/4/2019 9:40 AM	590	0.556600	0.557000	0.000400
79082	4/4/2019 9:40 AM	635	0.564200	0.565000	0.000800
79074	4/4/2019 9:41 AM	440	1.023600	1.033000	0.009400
79074	4/4/2019 9:41 AM	465	0.962800	0.974000	0.011200
79074	4/4/2019 9:41 AM	546	0.999800	1.012000	0.012200
79074	4/4/2019 9:41 AM	590	1.094900	1.106000	0.011100
79074	4/4/2019 9:41 AM	635	1.074600	1.086000	0.011400
76237	4/4/2019 9:42 AM	440	1.624200	1.615000	-0.009200
76237	4/4/2019 9:42 AM	465	1.511700	1.507000	-0.004700
76237	4/4/2019 9:42 AM	546	1.527200	1.529000	0.001800
76237	4/4/2019 9:42 AM	590	1.557100	1.557000	-0.000100
76237	4/4/2019 9:42 AM	635	1.473500	1.477000	0.003500
78606	4/4/2019 9:43 AM	440	2.124300	2.129000	0.004700
78606	4/4/2019 9:43 AM	465	1.976400	1.986000	0.009600
78606	4/4/2019 9:43 AM	546	1.997100	2.000000	0.002900
78606	4/4/2019 9:43 AM	590	2.036600	2.040000	0.003400
78606	4/4/2019 9:43 AM	635	1.926700	1.929000	0.002300
76347	4/4/2019 9:44 AM	440	2.796500	2.773000	-0.023500
76347	4/4/2019 9:44 AM	465	2.598500	2.602000	0.003500
76347	4/4/2019 9:44 AM	546	2.571900	2.585000	0.013100
76347	4/4/2019 9:44 AM	590	2.650100	2.662000	0.011900
76347	4/4/2019 9:44 AM	635	2.496900	2.500000	0.003100
76358	4/4/2019 9:45 AM	440	3.299600	3.265000	-0.034600
76358	4/4/2019 9:45 AM	465	3.066300	3.038000	-0.028300
76358	4/4/2019 9:45 AM	546	3.037700	3.099000	0.061300
76358	4/4/2019 9:45 AM	590	3.131700	3.133000	0.001300
76358	4/4/2019 9:45 AM	635	2.950800	2.986000	0.035200
78584	4/5/2019 9:37 AM	440	0.056700	0.054000	-0.002700
78584	4/5/2019 9:37 AM	465	0.053400	0.051000	-0.002400
78584	4/5/2019 9:37 AM	546	0.051500	0.049000	-0.002500
78584	4/5/2019 9:37 AM	590	0.051200	0.049000	-0.002200
78584	4/5/2019 9:37 AM	635	0.051000	0.049000	-0.002000
52790	4/5/2019 9:38 AM	440	0.166000	0.163000	-0.003000
52790	4/5/2019 9:38 AM	465	0.150200	0.148000	-0.002200
52790	4/5/2019 9:38 AM	546	0.152900	0.151000	-0.001900
52790	4/5/2019 9:38 AM	590	0.165400	0.164000	-0.001400
52790	4/5/2019 9:38 AM	635	0.173900	0.172000	-0.001900
79082	4/5/2019 9:40 AM	440	0.565100	0.562000	-0.003100
79082	4/5/2019 9:40 AM	465	0.525200	0.521000	-0.004200
79082	4/5/2019 9:40 AM	546	0.522700	0.521000	-0.001700
79082	4/5/2019 9:40 AM	590	0.556600	0.556000	-0.000600
79082	4/5/2019 9:40 AM	635	0.564200	0.563000	-0.001200
79074	4/5/2019 9:41 AM	440	1.023600	1.031000	0.007400
79074	4/5/2019 9:41 AM	465	0.962800	0.966000	0.003200
79074	4/5/2019 9:41 AM	546	0.999800	1.006000	0.006200
79074	4/5/2019 9:41 AM	590	1.094900	1.102000	0.007100
79074	4/5/2019 9:41 AM	635	1.074600	1.081000	0.006400
76237	4/5/2019 9:42 AM	440	1.624200	1.576000	-0.048200
76237	4/5/2019 9:42 AM	465	1.511700	1.471000	-0.040700
76237	4/5/2019 9:42 AM	546	1.527200	1.505000	-0.022200
76237	4/5/2019 9:42 AM	590	1.557100	1.543000	-0.014100
76237	4/5/2019 9:42 AM	635	1.473500	1.464000	-0.009500
