Name	Date	Wavelength	Expected	Acutal	A-E
78584	4/9/2019 9:37 AM	440	0.056700	0.050206	-0.006494
78584	4/9/2019 9:37 AM	465	0.053400	0.047457	-0.005943
78584	4/9/2019 9:37 AM	546	0.051500	0.047921	-0.003579
78584	4/9/2019 9:37 AM	590	0.051200	0.047775	-0.003425
78584	4/9/2019 9:37 AM	635	0.051000	0.047688	-0.003312
52790	4/9/2019 9:38 AM	440	0.166000	0.162755	-0.003245
52790	4/9/2019 9:38 AM	465	0.150200	0.147910	-0.002290
52790	4/9/2019 9:38 AM	546	0.152900	0.151341	-0.001559
52790	4/9/2019 9:38 AM	590	0.165400	0.163006	-0.002394
52790	4/9/2019 9:38 AM	635	0.173900	0.171930	-0.001970
79082	4/9/2019 9:40 AM	440	0.565100	0.561584	-0.003516
79082	4/9/2019 9:40 AM	465	0.525200	0.524477	-0.000723
79082	4/9/2019 9:40 AM	546	0.522700	0.522698	-0.000002
79082	4/9/2019 9:40 AM	590	0.556600	0.555758	-0.000842
79082	4/9/2019 9:40 AM	635	0.564200	0.564695	0.000495
79074	4/9/2019 9:41 AM	440	1.023600	1.015181	-0.008419
79074	4/9/2019 9:41 AM	465	0.962800	0.959618	-0.003182
79074	4/9/2019 9:41 AM	546	0.999800	0.995607	-0.004193
79074	4/9/2019 9:41 AM	590	1.094900	1.085213	-0.009687
79074	4/9/2019 9:41 AM	635	1.074600	1.067136	-0.007464
76237	4/9/2019 9:42 AM	440	1.624200	1.612449	-0.011751
76237	4/9/2019 9:42 AM	465	1.511700	1.508166	-0.003534
76237	4/9/2019 9:42 AM	546	1.527200	1.514513	-0.012687
76237	4/9/2019 9:42 AM	590	1.557100	1.549256	-0.007844
76237	4/9/2019 9:42 AM	635	1.473500	1.464601	-0.008899
78606	4/9/2019 9:43 AM	440	2.124300	2.107345	-0.016955
78606	4/9/2019 9:43 AM	465	1.976400	1.964318	-0.012082
78606	4/9/2019 9:43 AM	546	1.997100	1.973251	-0.023849
78606	4/9/2019 9:43 AM	590	2.036600	2.006227	-0.030373
78606	4/9/2019 9:43 AM	635	1.926700	1.904964	-0.021736
76347	4/9/2019 9:44 AM	440	2.796500	2.696618	-0.099882
76347	4/9/2019 9:44 AM	465	2.598500	2.546788	-0.051712
