Name	Date	Wavelength	Expected	Acutal	A-E
78584	5/6/2019 12:12 PM	440	0.056700	0.049514	-0.007186
78584	5/6/2019 12:12 PM	465	0.053400	0.044900	-0.008500
78584	5/6/2019 12:12 PM	546	0.051500	0.039316	-0.012184
78584	5/6/2019 12:12 PM	590	0.051200	0.039204	-0.011996
78584	5/6/2019 12:12 PM	635	0.051000	0.040434	-0.010566
52790	5/6/2019 12:13 PM	440	0.166000	0.162782	-0.003218
52790	5/6/2019 12:13 PM	465	0.150200	0.154301	0.004101
52790	5/6/2019 12:13 PM	546	0.152900	0.145908	-0.006992
52790	5/6/2019 12:13 PM	590	0.165400	0.156696	-0.008704
52790	5/6/2019 12:13 PM	635	0.173900	0.168724	-0.005176
79082	5/6/2019 12:15 PM	440	0.565100	0.581552	0.016452
79082	5/6/2019 12:15 PM	465	0.525200	0.552855	0.027655
79082	5/6/2019 12:15 PM	546	0.522700	0.527832	0.005132
79082	5/6/2019 12:15 PM	590	0.556600	0.551585	-0.005015
79082	5/6/2019 12:15 PM	635	0.564200	0.565326	0.001126
79074	5/6/2019 12:15 PM	440	1.023600	1.035005	0.011405
79074	5/6/2019 12:15 PM	465	0.962800	0.997082	0.034282
79074	5/6/2019 12:15 PM	546	0.999800	1.004766	0.004966
79074	5/6/2019 12:15 PM	590	1.094900	1.065034	-0.029866
79074	5/6/2019 12:15 PM	635	1.074600	1.070857	-0.003743
76237	5/6/2019 12:16 PM	440	1.624200	1.614044	-0.010156
76237	5/6/2019 12:16 PM	465	1.511700	1.547974	0.036274
76237	5/6/2019 12:16 PM	546	1.527200	1.498969	-0.028231
76237	5/6/2019 12:16 PM	590	1.557100	1.537764	-0.019336
76237	5/6/2019 12:16 PM	635	1.473500	1.468213	-0.005287
78606	5/6/2019 12:17 PM	440	2.124300	2.168784	0.044484
78606	5/6/2019 12:17 PM	465	1.976400	2.031817	0.055417
78606	5/6/2019 12:17 PM	546	1.997100	2.141303	0.144203
78606	5/6/2019 12:17 PM	590	2.036600	2.164613	0.128013
78606	5/6/2019 12:17 PM	635	1.926700	2.018920	0.092220
78584	5/6/2019 1:28 PM	440	0.056700	0.049982	-0.006718
78584	5/6/2019 1:28 PM	465	0.053400	0.044763	-0.008637
78584	5/6/2019 1:28 PM	546	0.051500	0.038219	-0.013281
78584	5/6/2019 1:28 PM	590	0.051200	0.041116	-0.010084
78584	5/6/2019 1:28 PM	635	0.051000	0.041550	-0.009450
52790	5/6/2019 1:28 PM	440	0.166000	0.162939	-0.003061
52790	5/6/2019 1:28 PM	465	0.150200	0.153626	0.003426
52790	5/6/2019 1:28 PM	546	0.152900	0.146072	-0.006828
52790	5/6/2019 1:28 PM	590	0.165400	0.156935	-0.008465
52790	5/6/2019 1:28 PM	635	0.173900	0.167029	-0.006871
79082	5/6/2019 1:29 PM	440	0.565100	0.581822	0.016722
79082	5/6/2019 1:29 PM	465	0.525200	0.553179	0.027979
79082	5/6/2019 1:29 PM	546	0.522700	0.530448	0.007748
79082	5/6/2019 1:29 PM	590	0.556600	0.553665	-0.002935
79082	5/6/2019 1:29 PM	635	0.564200	0.566554	0.002354
79074	5/6/2019 1:30 PM	440	1.023600	1.037161	0.013561
79074	5/6/2019 1:30 PM	465	0.962800	0.999971	0.037171
79074	5/6/2019 1:30 PM	546	0.999800	1.008139	0.008339
79074	5/6/2019 1:30 PM	590	1.094900	1.070121	-0.024779
79074	5/6/2019 1:30 PM	635	1.074600	1.071468	-0.003132
76237	5/6/2019 1:31 PM	440	1.624200	1.614598	-0.009602
76237	5/6/2019 1:31 PM	465	1.511700	1.555148	0.043448
76237	5/6/2019 1:31 PM	546	1.527200	1.506476	-0.020724
76237	5/6/2019 1:31 PM	590	1.557100	1.534490	-0.022610
76237	5/6/2019 1:31 PM	635	1.473500	1.470278	-0.003222
78606	5/6/2019 1:31 PM	440	2.124300	2.161083	0.036783
78606	5/6/2019 1:31 PM	465	1.976400	2.019431	0.043031
78606	5/6/2019 1:31 PM	546	1.997100	2.143308	0.146208
78606	5/6/2019 1:31 PM	590	2.036600	2.148136	0.111536
78606	5/6/2019 1:31 PM	635	1.926700	1.977383	0.050683
78584	5/6/2019 1:32 PM	440	0.056700	0.050726	-0.005974
78584	5/6/2019 1:32 PM	465	0.053400	0.045258	-0.008142
78584	5/6/2019 1:32 PM	546	0.051500	0.036607	-0.014893
78584	5/6/2019 1:32 PM	590	0.051200	0.039729	-0.011471
78584	5/6/2019 1:32 PM	635	0.051000	0.041340	-0.009660
52790	5/6/2019 1:33 PM	440	0.166000	0.163790	-0.002210
52790	5/6/2019 1:33 PM	465	0.150200	0.154451	0.004251
52790	5/6/2019 1:33 PM	546	0.152900	0.146451	-0.006449
52790	5/6/2019 1:33 PM	590	0.165400	0.157768	-0.007632
52790	5/6/2019 1:33 PM	635	0.173900	0.168490	-0.005410
79082	5/6/2019 1:34 PM	440	0.565100	0.582950	0.017850
79082	5/6/2019 1:34 PM	465	0.525200	0.553217	0.028017
79082	5/6/2019 1:34 PM	546	0.522700	0.528831	0.006131
79082	5/6/2019 1:34 PM	590	0.556600	0.552242	-0.004358
79082	5/6/2019 1:34 PM	635	0.564200	0.565901	0.001701
